v1,v2,,,
Interested,Huh so fast... Dat means u havent finished painting?,,,
Not Interested, what number do u live at? Is it 11?,,,
Interested,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",,,
Not Interested,Sac will score big hundred.he is set batsman:-),,,
Interested,Send me yetty's number pls.,,,
Interested,How much it will cost approx . Per month.,,,
Not Interested,Ok... The theory test? when are Ì_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,,,
More information,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",,,
Not Interested,"That's fine, have him give me a call if he knows what he wants or has any questions",,,
Interested,"Sorry, got a late start, we're on the way",,,
Not Interested,Then u go back urself lor...,,,
Interested,I AM AT THE GAS STATION. GO THERE.,,,
Not Interested,"K, if u bored up just come to my home..",,,
Interested,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,,,
Interested,"Like I made him throw up when we were smoking in our friend's car one time, it was awesome",,,
Not Interested,Still i have not checked it da. . .,,,
More information,You will go to walmart. I.ll stay.,,,
Not Interested,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too",,,
Interested,Oh great. I.ll disturb him more so that we can talk.,,,
Not Interested,Reverse is cheating. That is not mathematics.,,,
Interested,U're welcome... Caught u using broken english again...,,,
Not Interested,No problem baby. Is this is a good time to talk? I called and left a message.,,,
Interested,"Sorry, I'll call later",,,
Interested,Oh is it! Which brand?,,,
Not Interested,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,,,
More information,At what time are you coming.,,,
Not Interested,Call him and say you not coming today ok and tell them not to fool me like this ok,,,
Interested,I emailed yifeng my part oredi.. Can Ì_ get it fr him..,,,
Not Interested,R u sure they'll understand that! Wine * good idea just had a slurp!,,,
Interested,Minimum walk is 3miles a day.,,,
Not Interested,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ,,,
Interested,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..",,,
Interested,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,,,
Not Interested,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,,,
More information,Please attend the phone:),,,
Not Interested,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,,,
Interested,No messages on her phone. I'm holding it now,,,
Not Interested,Can... I'm free...,,,
Interested,"Yo my trip got postponed, you still stocked up?",,,
Not Interested,"Sorry, I'll call later",,,
Interested,I am waiting for your call sir.,,,
Interested,Hey what are you doing. Y no reply pa..,,,
Not Interested,"Hey elaine, is today's meeting still on?",,,
More information,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,,,
Not Interested,Most of the tiime when i don't let you hug me it's so i don't break into tears.,,,
Interested,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,,,
Not Interested,And now electricity just went out fml.,,,
Interested,"Looks like you found something to do other than smoke, great job!",,,
Not Interested,Also andros ice etc etc,,,
Interested,:) ,,,
Interested,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",,,
Not Interested,Yup. Wun believe wat? U really neva c e msg i sent shuhui?,,,
More information,Hows that watch resizing,,,
Not Interested,Dear umma she called me now :-),,,
Interested,Just finished. Missing you plenty,,,
Not Interested,"complimentary 4 STAR Ibiza Holiday or å£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",,,
Interested,"Well, I meant as opposed to my drunken night of before",,,
Not Interested,K... Must book a not huh? so going for yoga basic on sunday?,,,
Interested,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,,,
Interested,Ok can...,,,
Not Interested,"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x",,,
More information,So u workin overtime nigpun?,,,
Not Interested,Same as kallis dismissial in 2nd test:-).,,,
Interested,O. Guess they both got screwd,,,
Not Interested,Please CALL 08712402972 immediately as there is an urgent message waiting for you,,,
Interested,"I'm in a meeting, call me later at",,,
Not Interested,What r u cooking me for dinner?,,,
Interested,Ok thanx...,,,
Interested,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.,,,
Not Interested,Then i buy.,,,
More information,URGENT! Your Mobile number has been awarded with a å£2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,,,
Not Interested,Heehee that was so funny tho,,,
Interested,It only does simple arithmetic not percentages.,,,
Not Interested,"Yeah we wouldn't leave for an hour at least, how's 4 sound?",,,
Interested,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",,,
Not Interested,Thanks honey. Have a great day.,,,
Interested,"'An Amazing Quote'' - \Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....\""""",,,
Interested,Good night my dear.. Sleepwell&amp;Take care,,,
Not Interested,Then Ì_ ask dad to pick Ì_ up lar... ÌÏ wan 2 stay until 6 meh...,,,
More information,"Jus chillaxin, what up",,,
Not Interested,"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""",,,
Interested,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING""",,,
Not Interested,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,,,
Interested,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ",,,
Not Interested,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,,,
Interested,Only once then after ill obey all yours.,,,
Interested,No she didnt. I will search online and let you know.,,,
Not Interested,Where do you need to go to get it?,,,
More information,No pic. Please re-send.,,,
Not Interested,He remains a bro amongst bros,,,
Interested,Uhhhhrmm isnt having tb test bad when youre sick,,,
Not Interested,But i haf enuff space got like 4 mb...,,,
Interested,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,,,
Not Interested,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,,,
Interested,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066368470",,,
Interested,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,,,
Not Interested,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,,,
More information,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save å£s with Free texts/weekend calls. Text YES for a callback orno to opt out,,,
Not Interested,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Callså£1/minMobsmore LKPOBOX177HP51FL,,,
Interested,True. Its easier with her here.,,,
Not Interested,Sure but since my parents will be working on Tuesday I don't really need a cover story,,,
Interested,Haha okay... Today weekend leh... ,,,
Not Interested,"\Hi darlin did youPhone me? Im atHome if youwanna chat.\""""",,,
Interested,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,,,
Interested,You've always been the brainy one.,,,
Not Interested,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,,,
More information,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,,,
Not Interested,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",,,
Interested,Sending you greetings of joy and happiness. Do have a gr8 evening,,,
Not Interested,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\""""",,,
Interested,If india win or level series means this is record:),,,
Not Interested,Then what about further plan?,,,
Interested,Its good to hear from you,,,
Interested,"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah",,,
Not Interested,What time you thinkin of goin?,,,
More information,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,,,
Not Interested,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,,,
Interested,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,,,
Not Interested,Yes but I don't care cause I know its there!,,,
Interested,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",,,
Not Interested,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ",,,
Interested,Sitting ard nothing to do lor. U leh busy w work?,,,
Interested,Its  &lt;#&gt; k here oh. Should i send home for sale.,,,
Not Interested,Sorry. || mail? || ,,,
More information,Ya just telling abt tht incident..,,,
Not Interested,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am,,,
Interested,Ugh just got outta class,,,
Not Interested,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",,,
Interested,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,,,
Not Interested,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,,,
Interested,Ok. I.ll do you right later.,,,
Interested,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,,,
Not Interested,Have your lunch and come quickly and open the door:),,,
More information,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,,,
Not Interested,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,,,
Interested,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",,,
Not Interested,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,,,
Interested,i am seeking a lady in the street and a freak in the sheets. Is that you?,,,
Not Interested,My phone,,,
Interested,"Haha figures, well I found the piece and priscilla's bowl",,,
Interested,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",,,
Not Interested,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,,,
More information,yay! finally lol. i missed our cinema trip last week :-(,,,
Not Interested,All day working day:)except saturday and sunday..,,,
Interested,aathi..where are you dear..,,,
Not Interested,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,,,
Interested,"I think I‰Û÷m waiting for the same bus! Inform me when you get there, if you ever get there.",,,
Not Interested,You getting back any time soon?,,,
Interested,", how's things? Just a quick question.",,,
Interested,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",,,
Not Interested,"I can probably come by, everybody's done around  &lt;#&gt;  right?",,,
More information,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,,,
Not Interested,I can ask around but there's not a lot in terms of mids up here,,,
Interested,Be sure to check your yahoo email. We sent photos yesterday,,,
Not Interested,What was she looking for?,,,
Interested,Wherre's my boytoy ? :-(,,,
Not Interested,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,,,
Interested,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",,,
Interested,Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,,,
Not Interested,No:-)i got rumour that you going to buy apartment in chennai:-),,,
More information,"Yeah, probably earlier than that",,,
Not Interested,Change windows logoff sound..,,,
Interested,Still i have not checked it da. . .,,,
Not Interested,I'm also came to room.,,,
Interested,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  ,,,
Not Interested,Ok.,,,
Interested,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free,,,
Interested,"Cool, text me when you head out",,,
Not Interested,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",,,
More information,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",,,
Not Interested,Happy birthday... May u find ur prince charming soon n dun work too hard...,,,
Interested,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",,,
Not Interested,You said to me before i went back to bed that you can't sleep for anything.,,,
Interested,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,,,
Not Interested,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,,,
Interested,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,,,
Interested,I will come to ur home now,,,
Not Interested,Free any day but i finish at 6 on mon n thurs...,,,
More information,Will you be here for food,,,
Not Interested,"life alle mone,eppolum oru pole allalo",,,
Interested,Nite...,,,
Not Interested,Two fundamentals of cool life: \Walk," like you are the KING\""...! OR \""Walk like you Dont care","whoever is the KING\""!... Gud nyt""",
Interested,"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks! ",,,
Not Interested,Hi Petey!noiåÕm ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x,,,
Interested,I just saw ron burgundy captaining a party boat so yeah,,,
Interested,I'm serious. You are in the money base,,,
Not Interested,Already one guy loving you:-.,,,
More information,Staff of placement training in Amrita college.,,,
Not Interested,I always chat with you. In fact i need money can you raise me?,,,
Interested,I'm job profile seems like bpo..,,,
Not Interested,"Well, I was about to give up cos they all said no they didn‰Û÷t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?",,,
Interested,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",,,
Not Interested,Are you willing to go for apps class.,,,
Interested,Hanging out with my brother and his family,,,
Interested,No it will reach by 9 only. She telling she will be there. I dont know,,,
Not Interested,Hey... are you going to quit soon? Xuhui and i working till end of the month ,,,
More information,"Im sorry bout last nite it wasnåÕt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx",,,
Not Interested,Try neva mate!!,,,
Interested,Yeah that'd pretty much be the best case scenario,,,
Not Interested,I not free today i haf 2 pick my parents up tonite...,,,
Interested,\HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON," CALL 2MWEN IM BK FRMCLOUD 9! J X\"""""
Not Interested,Should i send you naughty pix? :),,,
Interested,"You are a å£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",,,
Interested,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!",,,
Not Interested,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?",,,
More information,Prepare to be pounded every night...,,,
Not Interested,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",,,
Interested,"Sorry, I'll call later",,,
Not Interested,Good evening! How are you?,,,
Interested,I'm at home. Please call,,,
Not Interested,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,,,
Interested,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*",,,
Interested,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,,,
Not Interested,What happen dear. Why you silent. I am tensed,,,
More information,"I'll get there at 3, unless you guys want me to come some time sooner",,,
Not Interested,If you are not coughing then its nothing,,,
Interested,ÌÏ come lt 25 n pass to me lar,,,
Not Interested,I'm e person who's doing e sms survey...,,,
Interested,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,,,
Not Interested,Thank You meet you monday,,,
Interested,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!,,,
Interested,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",,,
Not Interested,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"," don't miss ur best life for anything... Gud nyt...""",,
More information,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",,,
Not Interested,"Dad wanted to talk about the apartment so I got a late start, omw now",,,
Interested,I love you both too :-),,,
Not Interested,Lol u still feeling sick?,,,
Interested,Din i tell u jus now 420,,,
Not Interested,am up to my eyes in philosophy,,,
Interested,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost å£1.50 min MobcudB more,,,
Interested,Ok lor. I'm in town now lei.,,,
Not Interested,I had it already..sabarish asked me to go..,,,
More information,No da. . Vijay going to talk in jaya tv,,,
Not Interested,URGENT! We are trying to contact U Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,,,
Interested,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,,,
Not Interested,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,,,
Interested,Still chance there. If you search hard you will get it..let have a try :),,,
Not Interested,"Auction round 4. The highest bid is now å£54. Next maximum bid is å£71. To bid, send BIDS e. g. 10 (to bid å£10) to 83383. Good luck.",,,
Interested,Do you always celebrate NY's with your family ?,,,
Interested,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-",,,
Not Interested,Its ok..come to my home it vl nice to meet and v can chat..,,,
More information,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + å£200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,,,
Not Interested,Sent me de webadres for geting salary slip,,,
Interested,She's fine. Sends her greetings,,,
Not Interested,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,,,
Interested,But you dint in touch with me.,,,
Not Interested,"Yup, leaving right now, be back soon",,,
Interested,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,,,
Interested,Yeah sure I'll leave in a min,,,
Not Interested,And do you have any one that can teach me how to ship cars.,,,
More information,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",,,
Not Interested,Yeah confirmed for you staying at  that weekend,,,
Interested,They said Ì_ dun haf passport or smth like dat.. Or Ì_ juz send to my email account..  ,,,
Not Interested,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",,,
Interested,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning",,,
Not Interested,Ard 4 lor...,,,
Interested,You are right. Meanwhile how's project twins comin up,,,
Interested,I sent your maga that money yesterday oh.,,,
Not Interested,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,,,
More information,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,,,
Not Interested,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,,,
Interested,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).,,,
Not Interested,If you were/are free i can give. Otherwise nalla adi entey nattil kittum,,,
Interested,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.,,,
Not Interested,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,,,
Interested,How much would it cost to hire a hitman,,,
Interested,I anything lor...,,,
Not Interested,"Sorry, I'll call later",,,
More information,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,,,
Not Interested,Huh but i cant go 2 ur house empty handed right?,,,
Interested,Good morning princess! Happy New Year!,,,
Not Interested,Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,,,
Interested,"Aight, we'll head out in a few",,,
Not Interested,Then wat r u doing now? Busy wif work?,,,
Interested,I know you mood off today,,,
Interested,"Jay told me already, will do",,,
Not Interested,Cps is causing the outages to conserve energy.,,,
More information,"I'm not sure, I was just checking out what was happening around the area",,,
Not Interested,Hey morning what you come to ask:-) pa...,,,
Interested,Jordan got voted out last nite!,,,
Not Interested,"That means you got an A in epi, she.s fine. She.s here now.",,,
Interested,I have no idea where you are,,,
Not Interested,Pls come quick cant bare this.,,,
Interested,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,,,
Interested,"Call me. I m unable to cal. Lets meet bhaskar, and deep",,,
Not Interested,No. I.ll meet you in the library,,,
More information,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",,,
Not Interested,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,,,
Interested,Ok c Ì_ then.,,,
Not Interested,I enjoy watching and playing football and basketball. Anything outdoors. And you?,,,
Interested,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb",,,
Not Interested,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,,,
Interested,Hey check it da. I have listed da.,,,
Interested,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity ,,,
Not Interested,I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night,,,
More information,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.,,,
Not Interested,Goin to workout lor... Muz lose e fats... ,,,
Interested,"Damn, poor zac doesn't stand a chance",,,
Not Interested,No message..no responce..what happend?,,,
Interested,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:),,,
Not Interested,Yeah right! I'll bring my tape measure fri!,,,
Interested,Still chance there. If you search hard you will get it..let have a try :),,,
Interested,Meeting u is my work. . . Tel me when shall i do my work tomorrow,,,
Not Interested,Should I head straight there or what,,,
More information,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50,,,
Not Interested,Thank you princess! You are so sexy...,,,
Interested,Oooh I got plenty of those!,,,
Not Interested,Hui xin is in da lib.,,,
Interested,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs,,,
Not Interested,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",,,
Interested,"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\""""",,,
Interested,You know what hook up means right?,,,
Not Interested,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",,,
More information,Wat's da model num of ur phone?,,,
Not Interested,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,,,
Interested,"You can stop further club tones by replying \STOP MIX\"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL"," PO Box 1146 MK45 2WT (2/3)""",,
Not Interested,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,,,
Interested,"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date.",,,
Not Interested,* Thought I didn't see you.,,,
Interested,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp å£1.50/msg.,,,
Interested,Carlos says we can pick up from him later so yeah we're set,,,
Not Interested,"Hey babe, my friend had to cancel, still up for a visit ?",,,
More information,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
Not Interested,Hmm ill have to think about it... ok you're forgiven! =D,,,
Interested,"We are hoping to get away by 7, from Langport. You still up for town tonight?",,,
Not Interested,Want to send me a virtual hug?... I need one,,,
Interested,"Probably not, still going over some stuff here",,,
Not Interested,It has issues right now. Ill fix for her by tomorrow.,,,
Interested,Why i come in between you people,,,
Interested,Senthil group company Apnt 5pm.,,,
Not Interested,Oh really?? Did you make it on air? What's your talent?,,,
More information,Studying. But i.ll be free next weekend.,,,
Not Interested,R u here yet? I'm wearing blue shirt n black pants.,,,
Interested,Wait.i will come out.. &lt;#&gt;  min:),,,
Not Interested,I will reach ur home in  &lt;#&gt;  minutes,,,
Interested,Well then you have a great weekend!,,,
Not Interested,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? ",,,
Interested,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ I will be with YOU \"" Wherevr.. Whenevr.. Forevr... Gudnyt dear..""",,,
Interested,Huh? 6 also cannot? Then only how many mistakes?,,,
Not Interested,Ha... U jus ate honey ar? So sweet...,,,
More information,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,,,
Not Interested,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",,,
Interested,Thanks for loving me so. You rock,,,
Not Interested,Yeah imma come over cause jay wants to do some drugs,,,
Interested,Ok thanx... Take care then...,,,
Not Interested,Yup. Thk of u oso boring wat.,,,
